"ID","Outcome"
"1_554",0.518383741378784
"2_554",0.32814022898674
"3_554",0.452508896589279
"4_554",0.254943072795868
"6_554",0.441120147705078
"7_554",0.488213092088699
"9_554",0.516062617301941
"10_554",0.522087872028351
"11_554",0.45029079914093
"12_554",0.54141092300415
"13_554",0.541598260402679
"14_554",0.521541655063629
"15_554",0.451667100191116
"16_554",0.469556868076324
"17_554",0.596105635166168
"18_554",0.495848417282104
"19_554",0.344162553548813
"20_554",0.536675333976746
"21_554",0.415547221899033
"22_554",0.467987626791
"23_554",0.503897964954376
"24_554",0.50716632604599
"25_554",0.572214245796204
"26_554",0.511526107788086
"27_554",0.548888206481934
"28_554",0.58504593372345
"29_554",0.488426148891449
"30_554",0.543106198310852
"31_554",0.397548735141754
"32_554",0.486840814352036
"34_554",0.582259237766266
"35_554",0.400923401117325
"36_554",0.36239093542099
"37_554",0.528327643871307
"38_554",0.706932544708252
"39_554",0.491859346628189
"40_554",0.385413855314255
"42_554",0.529801189899445
"43_554",0.585552871227264
"44_554",0.511400580406189
"45_554",0.608276724815369
"46_554",0.291928112506866
"47_554",0.515181541442871
"49_554",0.499746203422546
"50_554",0.411195546388626
"51_554",0.570445001125336
"52_554",0.449077308177948
"54_554",0.145104378461838
"55_554",0.32856622338295
"56_554",0.454991698265076
"57_554",0.4886494576931
"58_554",0.479722827672958
"59_554",0.611879289150238
"60_554",0.505864977836609
"62_554",0.544283926486969
"63_554",0.464898020029068
"64_554",0.471218377351761
"65_554",0.446000516414642
"66_554",0.526045083999634
"67_554",0.169698283076286
"68_554",0.420907109975815
"69_554",0.559009850025177
"70_554",0.461518853902817
"71_554",0.499388724565506
"72_554",0.83246910572052
"73_554",0.561326503753662
"74_554",0.552405714988708
"75_554",0.496070742607117
"76_554",0.528415441513062
"77_554",0.482148230075836
"78_554",0.47670042514801
"79_554",0.465679854154587
"80_554",0.526522874832153
"81_554",0.505499064922333
"82_554",0.592043697834015
"83_554",0.649085164070129
"84_554",0.318212628364563
"85_554",0.543787658214569
"86_554",0.504636526107788
"87_554",0.564971148967743
"91_554",0.505235195159912
"92_554",0.545300602912903
"93_554",0.383773684501648
"94_554",0.486956000328064
"95_554",0.423123329877853
"96_554",0.542046129703522
"97_554",0.479872822761536
"98_554",0.46424862742424
"100_554",0.477243483066559
"101_554",0.460633605718613
"102_554",0.207206040620804
"103_554",0.477608144283295
"104_554",0.511915147304535
"105_554",0.448671281337738
"106_554",0.654164254665375
"107_554",0.463848739862442
"108_554",0.519905030727386
"109_554",0.492004454135895
"110_554",0.473626971244812
"112_554",0.591757476329803
"113_554",0.578258037567139
"114_554",0.681108236312866
"115_554",0.598365902900696
"116_554",0.667437791824341
"117_554",0.360103189945221
"118_554",0.514809310436249
"119_554",0.410741776227951
"120_554",0.532537519931793
"121_554",0.558964490890503
"122_554",0.486632496118546
"123_554",0.439167469739914
"124_554",0.52515435218811
"125_554",0.587404608726501
"127_554",0.501064836978912
"128_554",0.427826404571533
"129_554",0.508655905723572
"130_554",0.650523483753204
"131_554",0.493208467960358
"132_554",0.460298299789429
"133_554",0.514477133750916
"134_554",0.469259351491928
"135_554",0.440437287092209
"138_554",0.475099295377731
"139_554",0.508474051952362
"140_554",0.525435030460358
"141_554",0.501622259616852
"144_554",0.59325110912323
"145_554",0.64626145362854
"146_554",0.494560450315475
"147_554",0.517595946788788
"148_554",0.499449372291565
"149_554",0.588239729404449
"150_554",0.527624547481537
"151_554",0.559539556503296
"153_554",0.465459078550339
"154_554",0.669676899909973
"155_554",0.590023756027222
"158_554",0.645159602165222
"159_554",0.513730406761169
"160_554",0.452903687953949
"161_554",0.42428258061409
"162_554",0.514104723930359
"163_554",0.512079834938049
"166_554",0.486869394779205
"167_554",0.536763668060303
"168_554",0.482855170965195
